87  Allen Robinson JAC, 8   WR33  108 83  101 68    90.0
88  Michael Floyd ARI, 9  WR34  91  96  85  93    91.3
89  Houston Texans Defense  DST3  69  84  98  116   91.8
90  Jordan Cameron MIA, 5   TE9 75  114 83  99    92.8
91  Eli Manning NYG, 11   QB12  82  121 70  101   93.5
92  Ryan Tannehill MIA, 5   QB13  93  107 78  103   95.3
93  Doug Martin TB, 6   RB34  113 94  105 72    96.0
94  Tre Mason STL, 6  RB35  126 95  81  84    96.5
95  Shane Vereen NYG, 11  RB36  121 90  94  81    96.5
96  Antonio Gates SD, 10  TE10  76  73  97  144   97.5
97  Nelson Agholor PHI, 8   WR35  136 88  95  80    99.8
98  Christopher Ivory NYJ, 5  RB37  137 85  96  86    101.0
99  Victor Cruz NYG, 11   WR36  105 118 108 75    101.5
100 Brandon LaFell NE, 4  WR37  107 89  103 107   101.5
101 St. Louis Rams Defense  DST4  78  103 100 129   102.5
102 Larry Fitzgerald ARI, 9   WR38  89  99  122 102   103.0
103 Charles Johnson MIN, 5  WR39  110 113 123 85    107.8
104 Torrey Smith SF, 10   WR40  99  98  124 111   108.0
105 Philip Rivers SD, 10  QB14  102 123 104 113   110.5
106 Ryan Mathews PHI, 8   RB38  166 92  89  96    110.8
107 Stephen Gostkowski NE, 4  K1  72  91  143 147   113.3
108 Owen Daniels DEN, 7   TE11  97  137 139 89    115.5
109 Eric Decker NYJ, 5  WR41  86  86  160 132   116.0
110 Devonta Freeman ATL, 10   RB39  169 101 112 95    119.3
111 Dwayne Allen IND, 10  TE12  129 110 99  139   119.3
112 Breshad Perriman BAL, 9   WR42  155 100 130 109   123.5
113 Marques Colston NO, 11  WR43  117 117 142 122   124.5
114 Steve Smith BAL, 9  WR44  103 182 116 98    124.8
115 Charles Sims TB, 6  RB40  196 105 90  114   126.3
116 Reggie Bush SF, 10  RB41  131 139 125 120   128.8
117 Bishop Sankey TEN, 4  RB42  179 104 127 108   129.5
118 Percy Harvin BUF, 8   WR45  115 115 164 128   130.5
119 Davante Adams GB, 7   WR46  168 126 137 94    131.3
120 Josh Hill NO, 11  TE13  158 142 111 115   131.5
121 New York Jets Defense   DST5  141 111 158 119   132.3
122 Darren Sproles PHI, 8   RB43  118 143 129 140   132.5
123 Montee Ball DEN, 7  RB44  147 120 138 127   133.0
124 Adam Vinatieri IND, 10  K2  83  109 191 154   134.3
125 Anquan Boldin SF, 10  WR47  140 163 113 126   135.5
126 Sam Bradford PHI, 8   QB15  123 177 110 134   136.0
127 Joe Flacco BAL, 9   QB16  183 128 87  148   136.5
128 DeAngelo Williams PIT, 11   RB45  149 130 150 123   138.0
129 Terrance Williams DAL, 6  WR48  165 151 120 118   138.5
130 Jameis Winston TB, 6  QB17  134 119 148 160   140.3
131 David Cobb TEN, 4   RB46  182 170 106 104   140.5
132 Teddy Bridgewater MIN, 5  QB18  180 131 126 125   140.5
133 Knile Davis KC, 9   RB47    133 115 117   121.7
134 Duke Johnson CLE, 11  RB48  176 158 134 100   142.0
135 Pierre Garcon WAS, 8  WR49  127 179 153 112   142.8
136 Arizona Cardinals Defense   DST6  90  165 176 141   143.0
137 Colin Kaepernick SF, 10   QB19  156 136 136 146   143.5
138 Philadelphia Eagles Defense   DST7  74  145 189 179   146.8
139 Devante Parker MIA, 5   WR50  160 138 170 124   148.0
140 Andre Williams NYG, 11  RB49  145 116 166 166   148.3
141 Delanie Walker TEN, 4   TE14  153 146 168 130   149.3
142 David Johnson ARI, 9  RB50    178 114 105   132.3
143 Fred Jackson BUF, 8   RB51  120 129 192 158   149.8
144 New England Patriots Defense  DST8  100 135 169 201   151.3
145 John Brown ARI, 9   WR51  184 174 141 106   151.3
146 Marcus Mariota TEN, 4   QB20  133 108 193 174   152.0
147 Green Bay Packers Defense   DST9  138 152 121 204   153.8
148 Danny Woodhead SD, 10   RB52  148 183 147 135   153.3
149 Steven Hauschka SEA, 9  K3  111 124 196 183   153.5
150 Jay Ajayi MIA, 5  RB53  185 167 131 131   153.5
151 Baltimore Ravens Defense  DST10 112 144 163 199   154.5
152 Jay Cutler CHI, 7   QB21  187 159 107 169   155.5
153 Alex Smith KC, 9  QB22  144 169 109     140.7
154 Coby Fleener IND, 10  TE15  172 150 133 175   157.5
155 Connor Barth DEN, 7   K4  73  157 200 203   158.3
156 Denver Broncos Defense  DST11 170 122 194 150   159.0
157 Robert Griffin III WAS, 8   QB23  177 140 132 194   160.8
158 Miami Dolphins Defense  DST12 190 132 186 136   161.0
159 Carson Palmer ARI, 9  QB24    176 135 133   148.0
160 Carolina Panthers Defense   DST13   172 117 156   148.3
161 Kendall Wright TEN, 4   WR52  188 141 167 153   162.3
162 Denard Robinson JAC, 8  RB54  132 155   164   150.3
163 Cody Latimer DEN, 7   WR53    153 157 143   151.0
164 Terrance West CLE, 11   RB55  181 112 187 180   165.0
165 Dan Bailey DAL, 6   K5  104 189 206 170   167.3
166 Dallas Cowboys Defense  DST14 139 125 207     157.0
167 Vernon Davis SF, 10   TE16  192 147 173 155   166.8
168 Mason Crosby GB, 7  K6  116 198 178 177   167.3
169 Kyle Rudolph MIN, 5   TE17    162 152 161   158.3
170 Andy Dalton CIN, 7  QB25  157   128 192   159.0
171 Dorial Green-Beckham TEN, 4   WR54    160 183 137   160.0
172 Alfred Blue HOU, 9  RB56    191 149 145   161.7
173 Heath Miller PIT, 11  TE18    149 140     144.5
174 Justin Tucker BAL, 9  K7  171 154 184 182   172.8
175 Doug Baldwin SEA, 9   WR55  167 166 171 193   174.3
